pattern_id,query_skeleton,query_count,slot_diversity,distinct_url_count,top10_count,total_clicks,total_impressions,avg_position,confidence,is_programmatic_opportunity,reject_reason,sample_queries,sample_urls,template_label,intent,hub_label,hub_article_title,hub_slug,url_template,article_title_template,recommended_article_structure,internal_linking_strategy,risks
pattern_017,{slot_1} 5400 {slot_2},2,3,2,2,72.0,1600.0,8.35,0.752,False,Too few matching GSC queries (2 < 3).,philips 5400 entkalken; philips 5400 reinigen,https://example.com/philips-5400-entkalken/; https://example.com/philips-5400-reinigen/,X 5400 Y,how_to,5400 Hub,"5400: Übersicht, Varianten & Empfehlungen",/5400/,/{slot_1}-5400-{slot_2}/,{slot_1} 5400 {slot_2}: Schritt-für-Schritt-Anleitung,Kurzantwort: {slot_1} 5400 {slot_2} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_042,{slot_1} xelsis {slot_2},2,3,2,2,65.0,1540.0,8.25,0.75,False,Too few matching GSC queries (2 < 3).,saeco xelsis entkalken; saeco xelsis reinigen,https://example.com/saeco-xelsis-entkalken/; https://example.com/saeco-xelsis-reinigen/,X xelsis Y,how_to,Xelsis Hub,"Xelsis: Übersicht, Varianten & Empfehlungen",/xelsis/,/{slot_1}-xelsis-{slot_2}/,{slot_1} xelsis {slot_2}: Schritt-für-Schritt-Anleitung,Kurzantwort: {slot_1} xelsis {slot_2} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_011,kaffeevollautomat {slot_1},2,2,2,2,380.0,11000.0,4.4,0.741,False,Too few matching GSC queries (2 < 3).,kaffeevollautomat test; kaffeevollautomat mit milchsystem,https://example.com/kaffeevollautomat-milchsystem/; https://example.com/kaffeevollautomat-test/,Kaffeevollautomat X,commercial_comparison,Kaffeevollautomat Hub,"Kaffeevollautomat: Übersicht, Varianten & Empfehlungen",/kaffeevollautomat/,/kaffeevollautomat-{slot_1}/,"Kaffeevollautomat {slot_1}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_006,jura {slot_1},2,2,2,2,186.0,3700.0,3.9,0.727,False,Too few matching GSC queries (2 < 3).,jura e8 entkalken; jura e8 reinigen,https://example.com/jura-e8-entkalken/; https://example.com/jura-e8-reinigen/,Jura X,how_to,Jura Hub,"Jura: Übersicht, Varianten & Empfehlungen",/jura/,/jura-{slot_1}/,Jura {slot_1}: Schritt-für-Schritt-Anleitung,Kurzantwort: jura {slot_1} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_003,delonghi {slot_1},2,2,2,2,153.0,3200.0,5.2,0.712,False,Too few matching GSC queries (2 < 3).,delonghi magnifica entkalken; delonghi magnifica reinigen,https://example.com/delonghi-magnifica-entkalken/; https://example.com/delonghi-magnifica-reinigen/,Delonghi X,how_to,Delonghi Hub,"Delonghi: Übersicht, Varianten & Empfehlungen",/delonghi/,/delonghi-{slot_1}/,Delonghi {slot_1}: Schritt-für-Schritt-Anleitung,Kurzantwort: delonghi {slot_1} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_030,{slot_1} kaffeebohnen für {slot_2},1,2,1,1,210.0,4200.0,2.4,0.702,False,Too few matching GSC queries (1 < 3).,beste kaffeebohnen für vollautomat,https://example.com/beste-kaffeebohnen-fuer-vollautomat/,X kaffeebohnen für Y,commercial_comparison,Kaffeebohnen Hub,"Kaffeebohnen: Übersicht, Varianten & Empfehlungen",/kaffeebohnen/,/{slot_1}-kaffeebohnen-fur-{slot_2}/,"{slot_1} kaffeebohnen für {slot_2}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_014,philips {slot_1},2,2,2,2,72.0,1600.0,8.35,0.668,False,Too few matching GSC queries (2 < 3).,philips 5400 entkalken; philips 5400 reinigen,https://example.com/philips-5400-entkalken/; https://example.com/philips-5400-reinigen/,Philips X,how_to,Philips Hub,"Philips: Übersicht, Varianten & Empfehlungen",/philips/,/philips-{slot_1}/,Philips {slot_1}: Schritt-für-Schritt-Anleitung,Kurzantwort: philips {slot_1} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_015,saeco {slot_1},2,2,2,2,65.0,1540.0,8.25,0.667,False,Too few matching GSC queries (2 < 3).,saeco xelsis entkalken; saeco xelsis reinigen,https://example.com/saeco-xelsis-entkalken/; https://example.com/saeco-xelsis-reinigen/,Saeco X,how_to,Saeco Hub,"Saeco: Übersicht, Varianten & Empfehlungen",/saeco/,/saeco-{slot_1}/,Saeco {slot_1}: Schritt-für-Schritt-Anleitung,Kurzantwort: saeco {slot_1} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_032,{slot_1} latte {slot_2},1,2,1,1,92.0,2100.0,5.1,0.66,False,Too few matching GSC queries (1 < 3).,beste kaffee für latte macchiato,https://example.com/beste-kaffee-fuer-latte-macchiato/,X latte Y,commercial_comparison,Latte Hub,"Latte: Übersicht, Varianten & Empfehlungen",/latte/,/{slot_1}-latte-{slot_2}/,"{slot_1} latte {slot_2}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_021,{slot_1} eq6 {slot_2},2,3,2,1,75.0,1720.0,8.85,0.659,False,Too few matching GSC queries (2 < 3).,siemens eq6 entkalken; siemens eq6 reinigen,https://example.com/siemens-eq6-entkalken/; https://example.com/siemens-eq6-reinigen/,X eq6 Y,how_to,Eq6 Hub,"Eq6: Übersicht, Varianten & Empfehlungen",/eq6/,/{slot_1}-eq6-{slot_2}/,{slot_1} eq6 {slot_2}: Schritt-für-Schritt-Anleitung,Kurzantwort: {slot_1} eq6 {slot_2} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_036,{slot_1} mit {slot_2},1,2,1,1,80.0,3000.0,6.9,0.648,False,Too few matching GSC queries (1 < 3).,kaffeevollautomat mit milchsystem,https://example.com/kaffeevollautomat-milchsystem/,X mit Y,informational,Kaffeevollautomat Hub,"Kaffeevollautomat: Übersicht, Varianten & Empfehlungen",/kaffeevollautomat/,/{slot_1}-mit-{slot_2}/,{slot_1} mit {slot_2}: Alles Wichtige im Überblick,Kurzantwort → Problem oder Use Case → Konkrete Anleitung oder Empfehlung → Varianten und Entscheidungskriterien → Häufige Fehler → FAQ,"Der Artikel verlinkt zurück zum Hub, auf 2–4 thematisch verwandte Artikel und auf relevante Produkt- oder Conversion-Seiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_027,{slot_1} kaffee für {slot_2},1,2,1,1,74.0,1700.0,6.4,0.645,False,Too few matching GSC queries (1 < 3).,beste kaffee für siebträger,https://example.com/beste-kaffee-fuer-siebtraeger/,X kaffee für Y,commercial_comparison,Kaffee Hub,"Kaffee: Übersicht, Varianten & Empfehlungen",/kaffee/,/{slot_1}-kaffee-fur-{slot_2}/,"{slot_1} kaffee für {slot_2}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_002,cappuccino {slot_1},1,1,1,1,140.0,2700.0,2.9,0.603,False,Too few matching GSC queries (1 < 3).,cappuccino rezept,https://example.com/cappuccino-rezept/,Cappuccino X,recipe,Cappuccino Hub,"Cappuccino: Übersicht, Varianten & Empfehlungen",/cappuccino/,/cappuccino-{slot_1}/,"Cappuccino {slot_1}: Zutaten, Mengen & Zubereitung",Zutaten für cappuccino {slot_1} → Das richtige Equipment → Zubereitung Schritt für Schritt → Varianten und Abwandlungen → Tipps und typische Fehler → Nährwerte → FAQ,"Der Artikel verlinkt zurück zum Rezept-Hub, auf 2–4 verwandte Rezepte (Exact-Match-Anker) und auf passende Equipment- oder Zutaten-Guides.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_007,jura {slot_1} entkalken,1,1,1,1,120.0,2400.0,3.1,0.598,False,Too few matching GSC queries (1 < 3).,jura e8 entkalken,https://example.com/jura-e8-entkalken/,Jura X entkalken,how_to,Entkalken Hub,"Entkalken: Übersicht, Varianten & Empfehlungen",/entkalken/,/jura-{slot_1}-entkalken/,Jura {slot_1} entkalken: Schritt-für-Schritt-Anleitung,Kurzantwort: jura {slot_1} entkalken in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_022,{slot_1} espresso,1,1,1,1,125.0,2600.0,3.7,0.595,False,Too few matching GSC queries (1 < 3).,beste kaffeebohnen für espresso,https://example.com/beste-kaffeebohnen-fuer-espresso/,X espresso,commercial_comparison,Espresso Hub,"Espresso: Übersicht, Varianten & Empfehlungen",/espresso/,/{slot_1}-espresso/,"{slot_1} espresso: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_029,{slot_1} kaffeebohnen für espresso,1,1,1,1,125.0,2600.0,3.7,0.595,False,Too few matching GSC queries (1 < 3).,beste kaffeebohnen für espresso,https://example.com/beste-kaffeebohnen-fuer-espresso/,X kaffeebohnen für espresso,commercial_comparison,Espresso Hub,"Espresso: Übersicht, Varianten & Empfehlungen",/espresso/,/{slot_1}-kaffeebohnen-fur-espresso/,"{slot_1} kaffeebohnen für espresso: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_034,{slot_1} macchiato {slot_2},1,2,1,1,28.0,700.0,9.7,0.594,False,Too few matching GSC queries (1 < 3).,latte macchiato glas groesse,https://example.com/latte-macchiato-glas/,X macchiato Y,informational,Macchiato Hub,"Macchiato: Übersicht, Varianten & Empfehlungen",/macchiato/,/{slot_1}-macchiato-{slot_2}/,{slot_1} macchiato {slot_2}: Alles Wichtige im Überblick,Kurzantwort → Problem oder Use Case → Konkrete Anleitung oder Empfehlung → Varianten und Entscheidungskriterien → Häufige Fehler → FAQ,"Der Artikel verlinkt zurück zum Hub, auf 2–4 thematisch verwandte Artikel und auf relevante Produkt- oder Conversion-Seiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_025,{slot_1} jura {slot_2},1,2,1,1,18.0,480.0,8.9,0.589,False,Too few matching GSC queries (1 < 3).,alternative zu jura reinigungstabletten,https://example.com/jura-reinigungstabletten-alternative/,X jura Y,alternatives,Jura Hub,"Jura: Übersicht, Varianten & Empfehlungen",/jura/,/{slot_1}-jura-{slot_2}/,{slot_1} jura {slot_2}: Die besten Alternativen im Überblick,Kurzantwort: Die beste Alternative → Alternativen im Vergleich → Die Alternativen im Detail → Kompatibilität und Eignung → Preisvergleich → Vor- und Nachteile → FAQ,"Der Artikel verlinkt zurück zum Hub, auf verwandte Alternativen-Artikel mit gleichem {slot_1} und auf die Pflege-/How-to-Artikel der betroffenen Produkte.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_018,{slot_1} cappuccino,1,1,1,1,110.0,2300.0,4.2,0.588,False,Too few matching GSC queries (1 < 3).,beste bohnen für cappuccino,https://example.com/beste-bohnen-fuer-cappuccino/,X cappuccino,commercial_comparison,Cappuccino Hub,"Cappuccino: Übersicht, Varianten & Empfehlungen",/cappuccino/,/{slot_1}-cappuccino/,"{slot_1} cappuccino: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_023,{slot_1} für cappuccino,1,1,1,1,110.0,2300.0,4.2,0.588,False,Too few matching GSC queries (1 < 3).,beste bohnen für cappuccino,https://example.com/beste-bohnen-fuer-cappuccino/,X für cappuccino,commercial_comparison,Cappuccino Hub,"Cappuccino: Übersicht, Varianten & Empfehlungen",/cappuccino/,/{slot_1}-fur-cappuccino/,"{slot_1} für cappuccino: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_019,{slot_1} delonghi {slot_2},1,2,1,1,14.0,390.0,9.4,0.579,False,Too few matching GSC queries (1 < 3).,alternative zu delonghi reinigungstabletten,https://example.com/delonghi-reinigungstabletten-alternative/,X delonghi Y,alternatives,Delonghi Hub,"Delonghi: Übersicht, Varianten & Empfehlungen",/delonghi/,/{slot_1}-delonghi-{slot_2}/,{slot_1} delonghi {slot_2}: Die besten Alternativen im Überblick,Kurzantwort: Die beste Alternative → Alternativen im Vergleich → Die Alternativen im Detail → Kompatibilität und Eignung → Preisvergleich → Vor- und Nachteile → FAQ,"Der Artikel verlinkt zurück zum Hub, auf verwandte Alternativen-Artikel mit gleichem {slot_1} und auf die Pflege-/How-to-Artikel der betroffenen Produkte.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
